block_id,city_alpha,lat,lon
47412,sapporo,43.055248,141.345505
47423,muroran,42.336529,140.994400
47430,hakodate,41.786770,140.744003
47575,aomori,40.824589,140.755203
47582,akita,39.747292,140.083405
47584,morioka,39.697189,141.153900
47588,yamagata,38.152384,140.153981
47590,sendai,38.254162,140.891403
47595,fukushima,37.748909,140.479507
47604,niigata,37.920841,139.053299
47605,kanazawa,36.562500,136.646805
47607,toyama,36.691238,137.220093
47610,nagano,36.648708,138.192307
47615,utsunomiya,36.554241,139.897705
47616,fukui,36.066601,136.223801
47624,maebashi,36.233782,139.033915
47626,kumagaya,36.167944,139.370906
47629,mito,36.345341,140.369995
47632,gifu,35.410198,136.761505
47636,nagoya,35.154919,136.920593
47638,kofu,35.657372,138.577103
47648,tyoshi,35.442663,140.502658
47651,tsu,34.719109,136.516800
47656,shizuoka,34.974331,138.389099
47662,tokyo,35.680909,139.767372
47670,yokohama,35.428784,139.646463
47741,matsue,35.469051,133.061600
47746,tottori,35.497131,134.234604
47759,kyoto,35.009129,135.754807
47761,hikone,35.163532,136.150656
47762,simonoseki,33.953159,130.939102
47765,hiroshima,34.377560,132.444794
47768,okayama,34.665218,133.922501
47770,kobe,34.677484,135.175479
47772,osaka,34.702509,135.496505
47777,wakayama,34.221981,135.166107
47780,nara,34.679359,135.836105
47807,fukuoka,33.579788,130.402405
47813,saga,33.246601,130.303101
47815,oita,33.231110,131.606201
47817,nagasaki,32.765419,129.866302
47819,kumamoto,32.788521,130.714905
47827,kagoshima,31.570539,130.552505
47830,miyazaki,31.907379,131.423203
47887,matsuyama,33.835091,132.774902
47891,takamatsu,34.338539,134.046204
47893,kochi,33.552010,133.538300
47895,tokushima,34.066101,134.562302